Title,Genre
Inception,Sci-fi Action
interstellar,sci-fi Adventure
Cars,Animation family
Toy Story,Animation Comedy
Joker,Crime Drama
eraserhead,sci fi horror
videodrome, body horror
before sunrise,romance Drama
sunset boulevard Drama
spirited away,animation war
come and see,war Drama
pulp fiction,crime thriller
taxi driver,crime Drama
la la land,romance drama
little womem,romance family drama
her, sci-fi romantic
chopping mall,horror slasher
scream,horror slasher
mulholland drive dreamy surreal
point break, action drama
collateral,action crime
heat, action crime
parasite, thriller Comedy
midsommar, horror drama
the departed,thriller crime
nosferatu,fantasy horror
frankenstein, fantasy drama
project hail mary, sci-fi space
2001,sci-fi space
inglorious basterds,war drama
superbad, comedy drama
anora, romance drama
scarface, crime thriller
casablanca, romance drama
persona, surreal dreamy
le samourai, noir crime
double indemnity,noir crime
drive, noir drama
tokyo story, family drama
mishima,biography drama
the smashing machine, biography sports
marty supreme, biography sports
harakiri,history action
house,horror fantasy
this is the end, comedy action
ardh satya,crime drama
hereditary,thriller horror
badlands,crime romance
raging bull,biography drama


